FlightNumber,PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,Block,Longitude,Latitude,Class,Year
6,8117.574038461539,LEO,CCSFS SLC 40,1,False,False,False,1,-80.577366,28.5618571,0,2010
7,8117.574038461539,LEO,CCSFS SLC 40,1,False,False,False,1,-80.577366,28.5618571,0,2010
8,525.0,LEO,CCSFS SLC 40,1,False,False,False,1,-80.577366,28.5618571,0,2012
9,400.0,ISS,CCSFS SLC 40,1,False,False,False,1,-80.577366,28.5618571,0,2012
10,677.0,ISS,CCSFS SLC 40,1,False,False,False,1,-80.577366,28.5618571,0,2013
11,500.0,PO,VAFB SLC 4E,1,False,False,False,1,-120.610829,34.632093,0,2013
12,3170.0,GTO,CCSFS SLC 40,1,False,False,False,1,-80.577366,28.5618571,0,2013
13,3325.0,GTO,CCSFS SLC 40,1,False,False,False,1,-80.577366,28.5618571,0,2014
14,2296.0,ISS,CCSFS SLC 40,1,False,False,True,1,-80.577366,28.5618571,1,2014
15,1316.0,LEO,CCSFS SLC 40,1,False,False,True,1,-80.577366,28.5618571,1,2014
16,4535.0,GTO,CCSFS SLC 40,1,False,False,False,1,-80.577366,28.5618571,0,2014
17,4428.0,GTO,CCSFS SLC 40,1,False,False,False,1,-80.577366,28.5618571,0,2014
18,2216.0,ISS,CCSFS SLC 40,1,False,False,False,1,-80.577366,28.5618571,0,2014
19,2395.0,ISS,CCSFS SLC 40,1,True,False,True,1,-80.577366,28.5618571,0,2015
20,570.0,ES-L1,CCSFS SLC 40,1,True,False,True,1,-80.577366,28.5618571,1,2015
21,1954.0,GTO,CCSFS SLC 40,1,False,False,False,1,-80.577366,28.5618571,0,2015
22,1898.0,ISS,CCSFS SLC 40,1,True,False,True,1,-80.577366,28.5618571,0,2015
23,4707.0,GTO,CCSFS SLC 40,1,False,False,False,1,-80.577366,28.5618571,0,2015
24,2477.0,ISS,CCSFS SLC 40,1,True,False,True,1,-80.577366,28.5618571,0,2015
25,2034.0,LEO,CCSFS SLC 40,1,True,False,True,1,-80.577366,28.5618571,1,2015
26,553.0,PO,VAFB SLC 4E,1,True,False,True,1,-120.610829,34.632093,0,2016
27,5271.0,GTO,CCSFS SLC 40,1,True,False,True,1,-80.577366,28.5618571,0,2016
28,3136.0,ISS,CCSFS SLC 40,1,True,False,True,2,-80.577366,28.5618571,1,2016
29,4696.0,GTO,CCSFS SLC 40,1,True,False,True,2,-80.577366,28.5618571,1,2016
30,3100.0,GTO,CCSFS SLC 40,1,True,False,True,2,-80.577366,28.5618571,1,2016
31,1800.0,GTO,CCSFS SLC 40,1,True,False,True,2,-80.577366,28.5618571,0,2016
32,2257.0,ISS,CCSFS SLC 40,1,True,False,True,2,-80.577366,28.5618571,1,2016
33,4600.0,GTO,CCSFS SLC 40,1,True,False,True,2,-80.577366,28.5618571,1,2016
34,5500.0,GTO,CCSFS SLC 40,1,True,False,True,3,-80.577366,28.5618571,0,2016
35,9600.0,PO,VAFB SLC 4E,1,True,False,True,3,-120.610829,34.632093,1,2017
36,2490.0,ISS,KSC LC 39A,1,True,False,True,3,-80.6039558,28.6080585,1,2017
37,5600.0,GTO,KSC LC 39A,1,False,False,False,3,-80.6039558,28.6080585,0,2017
38,5300.0,GTO,KSC LC 39A,2,True,True,True,2,-80.6039558,28.6080585,1,2017
39,8117.574038461539,LEO,KSC LC 39A,1,True,False,True,3,-80.6039558,28.6080585,1,2017
40,6070.0,GTO,KSC LC 39A,1,False,False,False,3,-80.6039558,28.6080585,0,2017
41,2708.0,ISS,KSC LC 39A,1,True,False,True,3,-80.6039558,28.6080585,1,2017
42,3669.0,GTO,KSC LC 39A,2,True,True,True,3,-80.6039558,28.6080585,1,2017
43,9600.0,PO,VAFB SLC 4E,1,True,False,True,3,-120.610829,34.632093,1,2017
44,6761.0,GTO,KSC LC 39A,1,False,False,False,3,-80.6039558,28.6080585,0,2017
45,2910.0,ISS,KSC LC 39A,1,True,False,True,4,-80.6039558,28.6080585,1,2017
46,475.0,SSO,VAFB SLC 4E,1,True,False,True,3,-120.610829,34.632093,1,2017
47,4990.0,LEO,KSC LC 39A,1,True,False,True,4,-80.6039558,28.6080585,1,2017
48,9600.0,PO,VAFB SLC 4E,1,True,False,True,4,-120.610829,34.632093,1,2017
49,5200.0,GTO,KSC LC 39A,2,True,True,True,3,-80.6039558,28.6080585,1,2017
50,3700.0,GTO,KSC LC 39A,1,True,False,True,4,-80.6039558,28.6080585,1,2017
51,2205.0,ISS,CCSFS SLC 40,2,True,True,True,3,-80.577366,28.5618571,1,2017
52,9600.0,PO,VAFB SLC 4E,2,True,True,False,3,-120.610829,34.632093,1,2017
53,8117.574038461539,LEO,CCSFS SLC 40,1,True,False,True,4,-80.577366,28.5618571,1,2018
54,4230.0,GTO,CCSFS SLC 40,2,True,True,True,3,-80.577366,28.5618571,1,2018
56,1350.0,SSO,VAFB SLC 4E,2,True,True,False,3,-120.610829,34.632093,0,2018
57,6092.0,GTO,CCSFS SLC 40,1,True,False,True,4,-80.577366,28.5618571,0,2018
58,9600.0,PO,VAFB SLC 4E,2,True,True,True,4,-120.610829,34.632093,0,2018
59,2760.0,ISS,CCSFS SLC 40,2,True,True,True,4,-80.577366,28.5618571,0,2018
60,350.0,HEO,CCSFS SLC 40,1,True,False,True,4,-80.577366,28.5618571,1,2018
61,3750.0,GTO,KSC LC 39A,1,True,False,True,5,-80.6039558,28.6080585,1,2018
62,4300.0,PO,VAFB SLC 4E,2,True,True,False,4,-120.610829,34.632093,0,2018
63,5383.85,GTO,CCSFS SLC 40,2,False,True,False,4,-80.577366,28.5618571,0,2018
64,2410.0,ISS,CCSFS SLC 40,2,False,True,False,4,-80.577366,28.5618571,0,2018
65,7076.0,GTO,CCSFS SLC 40,1,True,False,True,5,-80.577366,28.5618571,1,2018
66,9600.0,PO,VAFB SLC 4E,1,True,False,True,5,-120.610829,34.632093,1,2018
